region_id,city_id,region_name,city_name,net_forest_emissions_01_to_23,region,city,average_net_emissions
16,5,Uppsala,Östhammar,-3749366.619088876,Uppsala,Oesthammar,-170425.8
16,6,Uppsala,Tierp,-5073729.429681538,Uppsala,Tierp,-230624.1
16,7,Uppsala,Uppsala,-3906020.98061106,Uppsala,Uppsala,-177546.4
17,1,Värmland,Årjäng,-7400944.496708208,Vaermland,Aarjaeng,-336406.6
17,2,Värmland,Arvika,-8786155.825241469,Vaermland,Arvika,-399370.7
17,3,Värmland,Eda,-4698727.764326603,Vaermland,Eda,-213578.5
17,4,Värmland,Filipstad,-3844366.2491582977,Vaermland,Filipstad,-174743.9
17,5,Värmland,Forshaga,-938315.17354951,Vaermland,Forshaga,-42650.7
17,6,Värmland,Grums,-1524816.422622341,Vaermland,Grums,-69309.8
17,7,Värmland,Hagfors,-4652836.88700452,Vaermland,Hagfors,-211492.6
17,8,Värmland,Hammarö,-334592.1484397302,Vaermland,Hammaroe,-15208.7
17,9,Värmland,Karlstad,-3373619.1797451954,Vaermland,Karlstad,-153346.3
17,10,Värmland,Kil,-1270094.194873957,Vaermland,Kil,-57731.6
17,11,Värmland,Kristinehamn,-2373807.8287006114,Vaermland,Kristinehamn,-107900.4
17,12,Värmland,Munkfors,-431975.1596733807,Vaermland,Munkfors,-19635.2
17,13,Värmland,Säffle,-6449652.318520281,Vaermland,Saeffle,-293166.0
17,14,Värmland,Storfors,-910129.9093970752,Vaermland,Storfors,-41369.5
17,15,Värmland,Sunne,-3667618.7375671626,Vaermland,Sunne,-166709.9
17,16,Värmland,Torsby,-23740016.54925307,Vaermland,Torsby,-1079091.7
18,1,Västerbotten,Åsele,-19010688.919233803,Vaesterbotten,Aasele,-864122.2
18,2,Västerbotten,Bjurholm,-5539080.152160514,Vaesterbotten,Bjurholm,-251776.4
18,3,Västerbotten,Dorotea,-18163451.13297302,Vaesterbotten,Dorotea,-825611.4
18,4,Västerbotten,Lycksele,-24681291.96223328,Vaesterbotten,Lycksele,-1121876.9
18,5,Västerbotten,Malå,-9441633.445332266,Vaesterbotten,Malaa,-429165.2
18,6,Västerbotten,Nordmaling,-7860077.4601643635,Vaesterbotten,Nordmaling,-357276.2
18,7,Västerbotten,Norsjö,-7772156.557957582,Vaesterbotten,Norsjoe,-353279.8
18,8,Västerbotten,Robertsfors,-4230684.3450250365,Vaesterbotten,Robertsfors,-192303.8
18,9,Västerbotten,Skellefteå,-24615720.080452487,Vaesterbotten,Skellefteaa,-1118896.4
18,10,Västerbotten,Sorsele,-41535711.87216789,Vaesterbotten,Sorsele,-1887986.9
18,11,Västerbotten,Storuman,-40564419.37799344,Vaesterbotten,Storuman,-1843837.2
18,12,Västerbotten,Umeå,-7041716.727545455,Vaesterbotten,Umeaa,-320078.0
18,13,Västerbotten,Vännäs,-2290720.0785399643,Vaesterbotten,Vaennaes,-104123.6
18,14,Västerbotten,Vilhelmina,-46065091.77693361,Vaesterbotten,Vilhelmina,-2093867.8
18,15,Västerbotten,Vindeln,-8740191.595456762,Vaesterbotten,Vindeln,-397281.4
19,1,Västernorrland,Ånge,-9929024.472804228,Vaesternorrland,Aange,-451319.3
19,2,Västernorrland,Härnösand,-6710786.013396887,Vaesternorrland,Haernoesand,-305035.7
19,3,Västernorrland,Kramfors,-9120811.315338865,Vaesternorrland,Kramfors,-414582.3
19,4,Västernorrland,Örnsköldsvik,-28681716.45719194,Vaesternorrland,Oernskoeldsvik,-1303714.4
19,5,Västernorrland,Sollefteå,-19476869.56223727,Vaesternorrland,Sollefteaa,-885312.3
19,6,Västernorrland,Sundsvall,-11464294.32446596,Vaesternorrland,Sundsvall,-521104.3
19,7,Västernorrland,Timrå,-4489699.085564474,Vaesternorrland,Timraa,-204077.2
20,1,Västmanland,Arboga,-510386.8465943495,Vaestmanland,Arboga,-23199.4
20,2,Västmanland,Fagersta,-745586.6480458076,Vaestmanland,Fagersta,-33890.3
20,3,Västmanland,Hallstahammar,-60323.43386759614,Vaestmanland,Hallstahammar,-2742.0
20,4,Västmanland,Heby,-1695736.6452341198,Vaestmanland,Heby,-77078.9
20,5,Västmanland,Köping,-437560.7466514974,Vaestmanland,Koeping,-19889.1
20,6,Västmanland,Kungsör,-417793.0429962865,Vaestmanland,Kungsoer,-18990.6
20,7,Västmanland,Norberg,-1086065.6136873958,Vaestmanland,Norberg,-49366.6
20,8,Västmanland,Sala,244391.1965764741,Vaestmanland,Sala,11108.7
20,9,Västmanland,Skinnskatteberg,-463216.861549505,Vaestmanland,Skinnskatteberg,-21055.3
20,10,Västmanland,Surahammar,-219772.7747552643,Vaestmanland,Surahammar,-9989.7
20,11,Västmanland,Västerås,-80174.78680100797,Vaestmanland,Vaesteraas,-3644.3
21,1,Västra Götaland,Ale,-2100152.114872492,Vaestra goetaland,Ale,-95461.5
21,2,Västra Götaland,Alingsås,-2232055.7366219023,Vaestra goetaland,Alingsaas,-101457.1
21,3,Västra Götaland,Åmål,-2692194.5533603244,Vaestra goetaland,Aamaal,-122372.5
21,4,Västra Götaland,Bengtsfors,-5651489.4999615215,Vaestra goetaland,Bengtsfors,-256885.9
21,5,Västra Götaland,Bollebygd,-1434602.2181132575,Vaestra goetaland,Bollebygd,-65209.2
21,6,Västra Götaland,Borås,-5420052.801591547,Vaestra goetaland,Boraas,-246366.0
21,7,Västra Götaland,Dals-Ed,-4355381.753325593,Vaestra goetaland,Dals-ed,-197971.9
21,8,Västra Götaland,Essunga,-610985.313631193,Vaestra goetaland,Essunga,-27772.1
21,9,Västra Götaland,Falköping,-3413013.40628036,Vaestra goetaland,Falkoeping,-155137.0
21,10,Västra Götaland,Färgelanda,-3046833.758389058,Vaestra goetaland,Faergelanda,-138492.4
